site	time	observer	date	type	sample	plant	replicate	bag	pump	end	equil	pumping	flowers	buds	pump_id	VWC	treatment	notes
Lagg	N	DH	2022-07-21	floral	76	76		21:26	21:59	22:14	0:33	0:15	1	0	CWu2	6.1	ambient	flower pulled off when starting pump
Lagg	N	DH	2022-07-21	ambient	airDH			21:42	22:15	22:30	0:33	0:15			CWu1			
Lagg	N	DH	2022-07-21	floral	598	598		21:45	22:20	22:35	0:35	0:15	1	0	CWu2	5.1	ambient	pump sounds quiet
Lagg	N	DH	2022-07-21	floral	320A	320	A	22:03	22:33	22:48	0:30	0:15	1	0	CWu1	6.2	ambient	
Lagg	N	DH	2022-07-21	floral	323	323		22:07	22:39	22:54	0:32	0:15	1	0	CWu2	5.9	ambient	pump died during sampling; switched for DRC4 for last 5 min
Lagg	D	AA	2022-07-21	floral	614	614		9:33	10:03	10:18	0:30	0:15	1	0	DRC4	6.2	ambient	
Lagg	D	AA	2022-07-21	floral	613	613		9:35	10:05	10:20	0:30	0:15	1	0	DRC1	6.9	nitrogen	
Lagg	D	AA	2022-07-21	floral	344	344		9:39	10:09	10:24	0:30	0:15	1	0	DRC7	6.6	ambient	Slipped out a few seconds after pump end
Lagg	D	AA	2022-07-21	floral	608	608		9:54	10:24	10:39	0:30	0:15	1	1	DRC4	5.3	nitrogen	
Lagg	D	AA	2022-07-21	floral	616	616		10:12	10:42	10:57	0:30	0:15	1	0	DRC1	3.7	water control	
Lagg	D	AA	2022-07-21	floral	607	607		10:15	10:45	11:00	0:30	0:15	1	0	DRC4	7.5	ambient	6.3% VWC on second reading
Lagg	D	AA	2022-07-21	floral	601	601		10:29	10:59	11:14	0:30	0:15	1	0	DRC7	5.2	water control	Trap out for 2 min during pump sampling
Lagg	D	AA	2022-07-21	floral	548	548		10:33	11:03	11:18	0:30	0:15	1	0	DRC4	6.5	nitrogen	
Lagg	D	AA	2022-07-21	ambient	airAA			10:46	11:16	11:31	0:30	0:15			DRC7			
Lagg	D	AA	2022-07-21	floral	598B	598	B	10:49	11:19	11:34	0:30	0:15	1	0	DRC1	7	ambient	
Lagg	D	AA	2022-07-21	floral	323	323		10:50	11:23	11:38	0:33	0:15	1	0	DRC4	7.4	ambient	
Lagg	D	AA	2022-07-21	floral	near85	notag85		11:33	12:05	12:20	0:32	0:15	1	0	DRC1	4.1	ambient	Located near 85
Lagg	D	AA	2022-07-21	floral	566	566		12:29	12:59	13:14	0:30	0:15	1	0	DRC1	10.8	nitrogen	Trap out for 1 min during pump sampling
Lagg	D	AA	2022-07-21	floral	322	322		12:38	13:08	13:23	0:30	0:15	1	0	DRC7	4.4	ambient	
Lagg	D	AA	2022-07-21	floral	568	568		12:50	13:20	13:35	0:30	0:15	1	0	DRC4	6.4	nitrogen	
Lagg	N	AA	2022-07-21	floral	614	614		20:45	21:15	21:30	0:30	0:15	1	0	DRC10	4	ambient	
Lagg	N	AA	2022-07-21	floral	613	613		20:47	21:17	21:32	0:30	0:15	1	0	DRC9	4.6	nitrogen	
Lagg	N	AA	2022-07-21	floral	344	344		20:48	21:18	21:33	0:30	0:15	1	0	DRC3	6.6	ambient	
Lagg	N	AA	2022-07-21	floral	601	601		21:23	21:53	22:08	0:30	0:15	1	0	DRC10	5.5	water control	
