filename	site	time	date	type	sample	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index
VF4D07142017_07142017	VF	D	2017-07-14	floral	4	4	8:51	9:21	9:36	0:30	0:15	1	0	DRC1		172
VF11DJul14_09052017	VF	D	2017-07-14	floral	11	11	9:03	9:33	9:48	0:30	0:15	1	0	DRC2		130
VF10DJul14_09052017	VF	D	2017-07-14	floral	10	10	9:13	9:43	9:58	0:30	0:15	1	0	DRC2	JP: changed end time from 10:58	129
VF8D07142017_07152017	VF	D	2017-07-14	floral	8	8	9:20	9:50	10:05	0:30	0:15	1	0	DRC3	JP: changed pump time from 2:50	179
VF9D07142017_07140217	VF	D	2017-07-14	floral	9	9	9:43	10:13	10:28	0:30	0:15	1	0	NA		181
VF13DJul14_09052017	VF	D	2017-07-14	floral	13	13	10:00	10:30	10:45	0:30	0:15	1	0	NA		132
VF22DJul14_09052017	VF	D	2017-07-14	floral	22	22	10:03	10:33	10:48	0:30	0:15	1	0	DRC2		143
VF23DJul14_09052017	VF	D	2017-07-14	floral	23	23	10:13	10:43	10:58	0:30	0:15	1	0	DRC1		144
VF12DJul14_09052017	VF	D	2017-07-14	floral	12	12	10:20	10:50	11:05	0:30	0:15	1	0	NA		131
VF49DJul14_09052017	VF	D	2017-07-14	floral	49	49	10:25	10:55	11:10	0:30	0:15	1	0	DRC2		170
VF37DJul14_09052017	VF	D	2017-07-14	floral	37	37	10:40	11:10	11:25	0:30	0:15	1	1	NA		158
VF36DJul14_09042017	VF	D	2017-07-14	floral	36	36	10:45	11:15	11:30	0:30	0:15	1	0	DRC1		157
VF40DJul14_09052017	VF	D	2017-07-14	floral	40	40	10:57	11:28	11:43	0:31	0:15	1	0	DRC2		162
L9DJul18_09032017	Lagg	D	2017-07-18	floral	9		8:53	9:23	9:38	0:30	0:15	1	0	DRC1		128
L1DJul18_09032017	Lagg	D	2017-07-18	floral	1		8:56	9:26	9:41	0:30	0:15	1	0	DRC2		75
L10DJul18_09032017	Lagg	D	2017-07-18	floral	10	0	9:13	9:43	9:58	0:30	0:15	1	1	DRC1	JP: end time not entered, inferred	58
L2DJul18_09032017	Lagg	D	2017-07-18	floral	2		9:16	9:46	10:01	0:30	0:15	1	0	DRC2		89
L17DJul18_09032017	Lagg	D	2017-07-18	floral	17	7	9:20	9:50	10:05	0:30	0:15	1	0	DRC3		70
L11DJul18_09032017	Lagg	D	2017-07-18	floral	11	1	9:33	10:03	10:19	0:30	0:16	1	1	DRC1		59
L3DJul18_09032017	Lagg	D	2017-07-18	floral	3		9:36	10:06	10:21	0:30	0:15	1	0	DRC2		101
L12DJul18_09032017	Lagg	D	2017-07-18	floral	12	2	9:53	10:23	10:40	0:30	0:17	1	0	DRC1		60
L4DJul18_09032017	Lagg	D	2017-07-18	floral	4		9:56	10:26	10:41	0:30	0:15	1	0	DRC2		121
L18DJul18_09032017	Lagg	D	2017-07-18	floral	18	8	10:00	10:30	10:45	0:30	0:15	1	0	DRC3		71
L13DJul18redo_09032017	Lagg	D	2017-07-18	floral	13	3	10:13	10:43	10:58	0:30	0:15	1	0	DRC1		64
L5DJul18_09032017	Lagg	D	2017-07-18	floral	5		10:16	10:47	11:02	0:31	0:15	1	0	DRC2	changed 50>5 to match file	124
L20DJul18_09032017	Lagg	D	2017-07-18	floral	20	0	10:20	10:50	11:05	0:30	0:15	1	0	DRC3		76
L14DJul18_09032017	Lagg	D	2017-07-18	floral	14	4	10:36	11:06	11:21	0:30	0:15	1	0	DRC1		65
L6D07182017	Lagg	D	2017-07-18	floral	6	6	10:36	11:06	11:21	0:30	0:15	1	0	DRC2	chromatogram missing?	187
L22DJul18_09032017	Lagg	D	2017-07-18	floral	22	2	10:40	11:10	11:25	0:30	0:15	1	0	DRC3		79
L7DJul18_09032017	Lagg	D	2017-07-18	floral	7		10:56	11:26	11:41	0:30	0:15	1	0	DRC2		126
L13DJul18reallyL21DJul18_09032017	Lagg	D	2017-07-18	floral	21	1	11:00	11:30	11:45	0:30	0:15	1	0	DRC3		63
L21DJul18reallyL15DJul18_09032017	Lagg	D	2017-07-18	floral	15	5	11:08	11:38	11:53	0:30	0:15	1	0	DRC1		77
L8DJul18_09032017	Lagg	D	2017-07-18	floral	8		11:16	11:46	12:01	0:30	0:15	1	0	DRC2		127
L23DJul18_09032017	Lagg	D	2017-07-18	floral	23	3	11:20	11:50	12:05	0:30	0:15	1	0	DRC3		80
L19DJul20_09032017	Lagg	D	2017-07-20	floral	19	9	8:37	9:07	9:22	0:30	0:15	1	0	DRC2		73
L32DJul20_09022017	Lagg	D	2017-07-20	floral	32	2	8:39	9:09	9:24	0:30	0:15	1	0	DRC3		92
L16DJul20_09032017	Lagg	D	2017-07-20	floral	16	6	8:55	9:25	9:40	0:30	0:15	1	0	DRC3	JP: note says July 18	68
L49DJul20_09022017	Lagg	D	2017-07-20	floral	49	9	8:56	9:26	9:41	0:30	0:15	1	0	DRC1		119
L50DJul20_09022017	Lagg	D	2017-07-20	floral	50	0	8:56	9:06	9:21	0:10	0:15	1	0	DRC1		122
