year_run	index.x	batch	Desorb.Start.Time	sample	verdict	samplename	format	file1	file2	file3	file4	file5	file6	file7	site	type	vial.x	time	date_text	date	rundate	gc_n	split_notes	year	files	metafile	filename	plant	bag	pump	end	equil	pumping	flowers	buds	pump_id	notes	index.y	observer	tag	VWC	per	biomass_g	row	vial.y	replicate	treatment	taxon	taxontime	field	match
2021	742	maxfield210714.txt	2021-07-14T19:33:55Z	5_line__Ihyb_200716_7142021_07.qgd	NA	5_line__Ihyb_200716_7142021_07	underscores	5	line	Ihyb	200716	7142021	7	NA	Ihyb	floral	5	N	200716	2020-07-15	2021-07-14	7	change 07-16>07-15, add N CHECK what does line mean, dupe sample number	2020	1	4	NA	2233	20:58:00	21:28:00	21:43:00	00:30:00	00:15:00	1	0	5	JP: looked up plant from flower number with Floral Traits data	NA	ST	NA	NA	NA	NA	NA	5	NA	NA	hyb	hybN	1	TRUE
2021	748	maxfield210714.txt	2021-07-14T22:39:00Z	6_2245_Ihyb_200721_7142021_13.qgd	NA	6_2245_Ihyb_200721_7142021_13	underscores	6	2245	Ihyb	200721	7142021	13	NA	Ihyb	floral	6	D	200721	2020-07-21	2021-07-14	13	add D	2020	1	4	NA	2245	11:33:00	12:05:00	12:20:00	00:32:00	00:15:00	1	0	7	NA	NA	JP	NA	NA	NA	NA	NA	6	NA	NA	hyb	hybD	1	TRUE
2021	743	maxfield210714.txt	2021-07-14T20:04:39Z	6_line_Ihyb_200716_7142021_08.qgd	NA	6_line_Ihyb_200716_7142021_08	underscores	6	line	Ihyb	200716	7142021	8	NA	Ihyb	floral	6	N	200716	2020-07-15	2021-07-14	8	change 07-16>07-15, add N	2020	1	4	NA	2245	21:12:00	21:42:00	21:57:00	00:30:00	00:15:00	1	0	9	JP: looked up plant from flower number with Floral Traits data	NA	ST	NA	NA	NA	NA	NA	6	NA	NA	hyb	hybN	1	TRUE
2021	828	Ihyb_VF_210716.txt	2021-07-17T10:10:09Z	7_2228_Ihyb_200715_7162021_21.qgd	skip-rename	12_398_Ihyb_200715_7162021_22	underscores	12	398	Ihyb	200715	7162021	22	NA	Ihyb	floral	12	N	200715	2020-07-15	2021-07-16	22	add N	2020	1	4	NA	398	20:52:00	21:35:00	21:50:00	00:43:00	00:15:00	1	0	NA	NA	NA	JP	NA	NA	NA	NA	NA	12	NA	NA	hyb	hybN	1	TRUE
2021	782	maxfield210715.txt	2021-07-16T06:19:19Z	7_228_Ihyb_200721_7152021_12.qgd	NA	7_228_Ihyb_200721_7152021_12	underscores	7	228	Ihyb	200721	7152021	12	NA	Ihyb	floral	7	D	200721	2020-07-21	2021-07-15	12	add D, change 228 > 2228	2020	1	4	NA	2228	12:17:00	12:47:00	13:02:00	00:30:00	00:15:00	1	0	3	NA	NA	ST	NA	NA	NA	NA	NA	7	NA	NA	hyb	hybD	1	TRUE
2021	750	maxfield210714.txt	2021-07-14T23:40:54Z	8_2294_Ihyb_200721_7142021_15.qgd	NA	8_2294_Ihyb_200721_7142021_15	underscores	8	2294	Ihyb	200721	7142021	15	NA	Ihyb	floral	8	D	200721	2020-07-21	2021-07-14	15	add D	2020	1	4	NA	2294	12:11:00	12:42:00	12:57:00	00:31:00	00:15:00	1	0	NA	NA	NA	JP	NA	NA	NA	NA	NA	8	NA	NA	hyb	hybD	1	TRUE
2021	833	Ihyb_VF_210716.txt	2021-07-17T12:43:40Z	air_JP_Ihyb_200715_7162021_26.qgd	skip-rename	VF_16_200717_7162021_27	underscores	VF	16	200717	7162021	27	NA	NA	VF	floral	16	D	200717	2020-07-17	2021-07-16	27	add D	2020	1	4	NA	124	09:08:00	09:38:00	09:53:00	00:30:00	00:15:00	1	0	7	NA	NA	ST	NA	9.5	NA	NA	NA	16	NA	NA	agg	aggD	1	TRUE
2019	1302	NA	2019-08-06T07:02:59Z	I10DAug2_08052019.qgd	NA	I10DAug2_08052019	SPTMonD	I10DAug2	8052019	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Aug2	2019-08-02	2019-08-05	NA	NA	2019	1	3	NA	10	10:29:00	10:59:00	11:14:00	00:30:00	00:15:00	1	0	JMP3	purple	NA	KW	NA	5.4	NA	0.00795	76	NA	NA	NA	hyb	hybD	1	TRUE
2017	425	NA	2017-08-27T02:47:59Z	I10DJul24_08262017.qgd	NA	I10DJul24_08262017	SPTMonD	I10DJul24	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul24	2017-07-24	2017-08-26	NA	NA	2017	1	1	I10DJul24_08262017	10	10:36:00	11:07:00	11:22:00	00:31:00	00:15:00	1	0	DRC4	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	426	NA	2017-08-27T03:20:51Z	I10NAug108262017.qgd	NA	I10NAug108262017	other	I10NAug108262017	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug10	2017-08-10	2017-08-26	NA	NA	2017	1	1	I10NAug108262017	10	20:19:00	20:49:00	21:04:00	00:30:00	00:15:00	1	0	DRC2	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2019	1625	NA	2019-08-15T21:48:03Z	I10NAug12_08152019.qgd	NA	I10NAug12_08152019	SPTMonD	I10NAug12	8152019	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug12	2019-08-12	2019-08-15	NA	NA	2019	1	3	NA	10	21:14:00	21:44:00	21:59:00	00:30:00	00:15:00	1	0	JMP3	NA	NA	JN	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2017	427	NA	2017-08-27T03:53:20Z	I11DJul24_08262017.qgd	NA	I11DJul24_08262017	SPTMonD	I11DJul24	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul24	2017-07-24	2017-08-26	NA	NA	2017	1	1	I11DJul24_08262017	11	11:45:00	12:15:00	12:30:00	00:30:00	00:15:00	1	0	DRC`	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	428	NA	2017-08-27T04:25:24Z	I11NAug1_08262017.qgd	NA	I11NAug1_08262017	SPTMonD	I11NAug1	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug1	2017-08-01	2017-08-26	NA	NA	2017	1	1	I11NAug1_08262017	11	20:29:00	20:59:00	21:14:00	00:30:00	00:15:00	1	0	DRC1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2019	1626	NA	2019-08-15T22:20:46Z	I11NAug12_08152019.qgd	NA	I11NAug12_08152019	SPTMonD	I11NAug12	8152019	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug12	2019-08-12	2019-08-15	NA	NA	2019	1	3	NA	11	20:15:00	20:45:00	21:00:00	00:30:00	00:15:00	1	0	DRC7	NA	NA	KW	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2018	411	NA	2018-08-07T23:12:57Z	I121DJuly20_08072018.qgd	NA	I121DJuly20_08072018	SPTMonD	I121DJuly20	8072018	NA	NA	NA	NA	NA	Ihyb	floral	121	D	July20	2018-07-20	2018-08-07	NA	file/tag 121 = flag 14	2018	1	2	NA	14	11:23:00	11:53:00	12:08:00	00:30:00	00:15:00	1	0	6	very small flower	NA	AF	121	6.1	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2019	1303	NA	2019-08-06T07:34:16Z	I12DAug2_08052019.qgd	NA	I12DAug2_08052019	SPTMonD	I12DAug2	8052019	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Aug2	2019-08-02	2019-08-05	NA	NA	2019	1	3	NA	12	10:51:00	11:21:00	11:36:00	00:30:00	00:15:00	1	4	DRC3	NA	NA	LS	NA	20.2	NA	0.02341	78	NA	NA	NA	hyb	hybD	1	TRUE
2017	429	NA	2017-08-27T04:57:31Z	I12DJul24_08262017.qgd	NA	I12DJul24_08262017	SPTMonD	I12DJul24	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul24	2017-07-24	2017-08-26	NA	NA	2017	1	1	I12DJul24_08262017	12	11:19:00	11:48:00	12:03:00	00:29:00	00:15:00	1	0	DRC1	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	430	NA	2017-08-27T05:29:46Z	I12NAug1_08262017.qgd	NA	I12NAug1_08262017	SPTMonD	I12NAug1	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug1	2017-08-01	2017-08-26	NA	NA	2017	1	1	I12NAug1_08262017	12	20:41:00	21:11:00	21:26:00	00:30:00	00:15:00	1	0	DRC2	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2019	1627	NA	2019-08-15T22:53:42Z	I12NAug12_08152019.qgd	NA	I12NAug12_08152019	SPTMonD	I12NAug12	8152019	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug12	2019-08-12	2019-08-15	NA	NA	2019	1	3	NA	12	21:00:00	21:30:00	21:45:00	00:30:00	00:15:00	1	0	JMP2	NA	NA	JN	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2018	382	NA	2018-08-06T17:21:48Z	I12NJuly19_08062018.qgd	NA	I12NJuly19_08062018	SPTMonD	I12NJuly19	8062018	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	July19	2018-07-19	2018-08-06	NA	NA	2018	1	2	NA	12	21:05:00	21:36:00	21:51:00	00:31:00	00:15:00	1	0	NA	either pump 2 or 6	NA	RD	2220	8.6	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2017	446	NA	2017-08-28T15:04:50Z	I13DJul24_08282017.qgd	NA	I13DJul24_08282017	SPTMonD	I13DJul24	8282017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul24	2017-07-24	2017-08-28	NA	NA	2017	1	1	I13DJul24_08282017	13	11:35:00	12:06:00	12:21:00	00:31:00	00:15:00	1	0	DRC4	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	485	NA	2017-08-31T19:04:08Z	I13NAug1_08312017.qgd	NA	I13NAug1_08312017	SPTMonD	I13NAug1	8312017	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug1	2017-08-01	2017-08-31	NA	NA	2017	1	1	I13NAug1_08312017	13	20:51:00	21:21:00	21:36:00	00:30:00	00:15:00	1	0	DRC1	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2019	1628	NA	2019-08-15T23:26:48Z	I13NAug12_08152019.qgd	NA	I13NAug12_08152019	SPTMonD	I13NAug12	8152019	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug12	2019-08-12	2019-08-15	NA	NA	2019	1	3	NA	13	20:47:00	21:17:00	21:32:00	00:30:00	00:15:00	1	0	JMP3	NA	NA	JN	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2017	447	NA	2017-08-28T15:35:45Z	I14DJul24_08282017.qgd	NA	I14DJul24_08282017	SPTMonD	I14DJul24	8282017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul24	2017-07-24	2017-08-28	NA	NA	2017	1	1	I14DJul24_08282017	14	11:55:00	12:25:00	12:40:00	00:30:00	00:15:00	1	0	DRC4	NA	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	486	NA	2017-08-31T19:36:59Z	I14NAug1_08312017.qgd	NA	I14NAug1_08312017	SPTMonD	I14NAug1	8312017	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug1	2017-08-01	2017-08-31	NA	NA	2017	1	1	I14NAug1_08312017	14	21:01:00	21:31:00	21:46:00	00:30:00	00:15:00	1	0	DRC2	NA	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2019	1629	NA	2019-08-15T23:59:54Z	I14NAug12_08152019.qgd	NA	I14NAug12_08152019	SPTMonD	I14NAug12	8152019	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug12	2019-08-12	2019-08-15	NA	NA	2019	1	3	NA	14	20:16:00	20:46:00	21:01:00	00:30:00	00:15:00	1	0	DRC8	NA	NA	KW	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2017	474	NA	2017-08-31T08:23:50Z	I15DJul27_08302017.qgd	NA	I15DJul27_08302017	SPTMonD	I15DJul27	8302017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul27	2017-07-27	2017-08-30	NA	NA	2017	1	1	I15DJul27_08302017	15	11:53:00	12:23:00	12:38:00	00:30:00	00:15:00	1	0	DRC4	NA	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	432	NA	2017-08-27T06:33:42Z	I15NAug1_08262017.qgd	NA	I15NAug1_08262017	SPTMonD	I15NAug1	8262017	NA	NA	NA	NA	NA	Ihyb	floral	NA	N	Aug1	2017-08-01	2017-08-26	NA	NA	2017	1	1	I15NAug1_08262017	15	21:13:00	21:43:00	21:58:00	00:30:00	00:15:00	1	1	DRC1	NA	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybN	1	TRUE
2017	458	NA	2017-08-30T23:31:09Z	I16DJul24_08302017.qgd	NA	I16DJul24_08302017	SPTMonD	I16DJul24	8302017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul24	2017-07-24	2017-08-30	NA	NA	2017	1	1	I16DJul24_08302017	16	12:05:00	12:35:00	12:50:00	00:30:00	00:15:00	1	0	DRC2	NA	13	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
2017	475	NA	2017-08-31T08:55:18Z	I16DJul27_08302017.qgd	NA	I16DJul27_08302017	SPTMonD	I16DJul27	8302017	NA	NA	NA	NA	NA	Ihyb	floral	NA	D	Jul27	2017-07-27	2017-08-30	NA	NA	2017	1	1	I16DJul27_08302017	16	11:22:00	11:56:00	12:11:00	00:34:00	00:15:00	1	0	DRC4	NA	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	hyb	hybD	1	TRUE
